PDF_Name,Page_Number,Labels,Summary
JMLSG-Guidance-Part-I_July-2022.pdf,11,Financial Industry Associations; UK Financial Organizations; Trade Bodies; Financial Services Membership; JMLSG Composition,"The page lists all 14 member organizations that comprise the Joint Money Laundering Steering Group (JMLSG). These members represent a diverse range of financial sectors including banking, insurance, credit unions, electronic money, investments, and financial markets. Key members include the Association of British Insurers (ABI), UK Finance (UKF), the Building Societies Association (BSA), and the Investment Association (IA). The membership encompasses both traditional financial institutions and newer financial technology sectors through organizations like the Electronic Money Association (EMA). The list demonstrates the broad scope of the JMLSG's representation across the UK's financial services industry, including organizations that represent foreign banks (AFB), venture capital (BVCA), and financial advisors (PIMFA)."
JMLSG-Guidance-Part-I_July-2022.pdf,12,Financial Regulations & Compliance; Anti-Money Laundering; Counter-Terrorism Financing; Corporate Governance; Management Responsibilities,"This chapter outlines the comprehensive regulatory framework and management responsibilities for anti-money laundering (AML) and counter-terrorism financing (CTF). It details multiple layers of regulatory guidance, from international to national levels, including FATF Recommendations, UN Security Council Resolutions, EU Directives, and UK-specific legislation. The framework encompasses Basel papers, IAIS and IOSCO guidelines, and various UK laws including the Money Laundering Regulations 2017 and the Proceeds of Crime Act 2002. The content emphasizes senior management's core obligations, particularly in FCA-regulated firms, which include: identifying and managing business risks, appointing nominated officers and MLROs for disclosure processing, ensuring adequate resource allocation for AML/CTF activities, and understanding potential personal liability for non-compliance. Required actions include developing formal policy statements for preventing money laundering and terrorist financing, maintaining adequate resources, and commissioning annual MLRO reports with timely follow-up on identified deficiencies. The regulatory framework also notes the extra-territorial application of some overseas jurisdictions' regimes, highlighting the global nature of AML/CTF compliance requirements."
JMLSG-Guidance-Part-I_July-2022.pdf,13,Money Laundering Regulations; Risk Management; Senior Management Responsibilities; Compliance Requirements; Risk Assessment,"This page outlines key requirements and responsibilities regarding money laundering and terrorist financing prevention in financial firms. The content emphasizes that firms must implement risk-based approaches to prevent being used for money laundering or terrorist financing activities. Senior management has specific responsibilities to ensure appropriate policies and controls are in place and effectively operated. The ML Regulations require firms to assess risks by considering multiple factors including customer information, geographic areas, products, services, and delivery channels, while taking into account information provided by the FCA. The assessment should incorporate findings from the National Risk Assessment and be proportionate to the firm's size and nature. While firms should assume most customers are not money launderers or terrorist financiers, they must maintain systems to identify higher-risk customers. Senior management must be actively involved in decision-making and take ownership of the risk-based approach, with specific approval required for policies and procedures. These policies must be regularly updated to reflect changing risks. For firms of appropriate size and nature, a board member or senior manager must be appointed as the officer responsible for ML Regulations compliance. The text emphasizes that inadequate approaches can lead to reputational, legal, and regulatory risks for the firm."
JMLSG-Guidance-Part-I_July-2022.pdf,14,Risk Management; AML/CTF Compliance; International Standards; Regulatory Framework; High-Risk Jurisdictions,"This content focuses on several key aspects of anti-money laundering (AML) and counter-terrorist financing (CTF) frameworks. Senior management's role in risk assessment and mitigation is emphasized, with the requirement that they must be aware of money laundering risks and ensure appropriate mitigation measures are in place. High-risk business relationships require senior management escalation. The text then outlines the international AML/CTF landscape, highlighting how governments worldwide are implementing legislation to combat money laundering and terrorist financing. The Financial Action Task Force (FATF) plays a crucial role by issuing international standards and maintaining oversight of countries with strategic deficiencies through their International Co-operation Review Group (ICRG). The European Union's implementation of FATF recommendations through directives is discussed, particularly noting the UK's adoption through the Money Laundering Regulations 2017. Post-Brexit, from January 2021, the UK established its own standalone list of high-risk countries, which mirrors FATF's jurisdictions under increased monitoring. This list is formally set out in Schedule 3ZA of the ML Regulations and is amended by The Money Laundering and Terrorist Financing (Amendment) (High-Risk Countries) Regulations 2022. The content also notes that ML/TF risk associated with individual countries can be assessed through additional sources, including HM Treasury."
JMLSG-Guidance-Part-I_July-2022.pdf,15,Financial Regulation; Anti-Money Laundering; International Compliance; Sanctions Framework; UK Legal Framework,"This content outlines key aspects of international and UK financial compliance frameworks, particularly focusing on anti-money laundering (AML) and counter-terrorist financing (CTF) measures. Internationally, organizations like FATF, Basel, IAIS, and IOSCO promote risk-based due diligence procedures for financial firms. The UN and EU maintain sanctions lists targeting specific individuals, organizations, and nationals, with HM Treasury's Office for Financial Sanctions Implementation managing these in the UK. Organizations like Transparency International and the Wolfsberg Group provide additional guidance for AML/CTF approaches. The UK's framework is based on public-private partnership, with objectives specified in legislation and FCA Rules but allowing flexibility in implementation. Key elements of the UK framework include the Proceeds of Crime Act 2002, Terrorism Act 2000, Money Laundering Regulations 2017, Counter-terrorism Act 2008, HM Treasury Sanctions Notices, and the FCA Handbook. The framework emphasizes a risk-based approach while maintaining compliance with international standards and EU-derived regulations, even as they've been incorporated into UK law."
JMLSG-Guidance-Part-I_July-2022.pdf,16,Financial Crime Regulation; UK Anti-Money Laundering; Counter-Terrorism Finance; Law Enforcement Strategy; Public-Private Partnership,"This content outlines key aspects of the UK's approach to combating financial crime, particularly money laundering and terrorist financing. The Joint Money Laundering Steering Group (JMLSG) provides implementation guidance for the financial services industry, while multiple UK bodies share enforcement responsibilities. HMRC serves dual roles as both a supervisory and law enforcement authority. The ML Regulations, POCA, and Terrorism Act form the legislative framework applying to specified UK firms, with additional obligations imposed by the UK financial sanctions regime. The Home Office's Serious and Organised Crime Strategy (2013) implements a four-component framework: PURSUE (prosecution and disruption), PREVENT (preventing engagement), PROTECT (increasing protection), and PREPARE (reducing impact). The 2016 Action Plan for anti-money laundering and counter-terrorist finance emphasizes stronger partnership with the private sector, including enhanced information sharing between law enforcement agencies, supervisors, and private sector entities. This collaborative approach aims to target resources at the highest risks and prevent individuals from becoming involved in money laundering activities."
JMLSG-Guidance-Part-I_July-2022.pdf,17,Law Enforcement; Financial Regulation; Compliance; Risk Assessment; Senior Management Responsibilities,"The content outlines key initiatives and regulatory frameworks for combating money laundering and terrorist financing in the UK. It describes three main areas of focus: enhancing law enforcement capabilities, improving supervisory effectiveness, and expanding international cooperation. The text references the UK's national risk assessments (NRA) of money laundering and terrorist financing, published jointly by HM Treasury and the Home Office in 2015, 2017, and 2020. The document emphasizes senior management's responsibilities in managing business operations and complying with ML Regulations, POCA, and the Terrorism Act. For FCA-regulated firms, specific responsibilities are detailed in FSMA and the FCA Handbook. The FCA provides guidance through their Financial Crime Guide, which helps firms counter financial crime risks. The content stresses the importance of moving beyond 'tick-box compliance' toward a more risk-based approach in identifying and preventing criminal activity. The text also references various regulatory frameworks including SYSC and mentions the FCA's role in clarifying expectations through thematic reviews and additional guidance."
JMLSG-Guidance-Part-I_July-2022.pdf,18,Financial Regulation Compliance; Corporate Liability; Money Laundering Prevention; Staff Training Requirements; Criminal Liability,"This content outlines key regulatory requirements and obligations regarding financial crime prevention, particularly focusing on money laundering and terrorist financing. It emphasizes that while firms can separate different financial crime prevention functions, there must be close coordination between responsible parties. The ML Regulations mandate firms to establish adequate policies and controls, with non-compliance potentially resulting in imprisonment and/or fines. Organizations must appoint a board member or senior manager to oversee ML Regulations compliance when appropriate for their size and nature. The text also details criminal liability aspects, explaining that individual officers, partners, or managers can be held personally liable for offenses if they consented to or failed to prevent violations. There's specific mention of criminal liability under POCA and the Terrorism Act affecting staff members. Importantly, firms are required to ensure their employees and agents receive regular training on recognizing and handling potential money laundering or terrorist financing activities, with reference to detailed guidance in Chapter 7. The regulations emphasize both organizational and individual responsibility in maintaining compliance with financial crime prevention measures."
JMLSG-Guidance-Part-I_July-2022.pdf,19,Financial Regulation; Senior Management Responsibilities; Anti-Money Laundering; FCA Compliance; Corporate Governance,"This content outlines key regulatory requirements and obligations for FCA-regulated firms regarding financial crime prevention and management responsibilities. Under the Senior Managers and Certification Regime (SMCR), deposit takers, insurers, and investment banks must maintain a Management Responsibilities Map that allocates prescribed responsibilities to individual SMF Managers. One specific prescribed responsibility relates to policies and procedures for countering financial crime risk, which must be assigned to an SMF Manager (not necessarily the MLRO).

The text explains the distinction between 'common platform' firms (subject to both MiFID and Capital Requirements Directive) and non-common platform firms, with different but related systems and controls requirements under SYSC 6.1.1 and SYSC 3.2.6 respectively. The FCA emphasizes financial crime prevention as integral to its functions, requiring firms and their senior management to implement appropriate measures for prevention, detection, and monitoring of financial crime.

Specific requirements include the appointment of a director or senior manager responsible for anti-money laundering systems and controls, except for general insurance firms and mortgage intermediaries. Additionally, firms must designate an individual (MLRO) responsible for overseeing compliance with FCA's anti-money laundering rules. The content emphasizes the importance of senior management's operational responsibility in maintaining appropriate systems and controls to combat financial crime."
JMLSG-Guidance-Part-I_July-2022.pdf,20,MLRO Responsibilities; Financial Compliance; Senior Management Duties; Regulatory Requirements; AML/CTF Controls,"This content details the requirements and responsibilities related to Money Laundering Reporting Officers (MLROs) and senior management in financial firms. Key points include:

The FCA requires MLROs to have sufficient seniority within their firms to be effective, either as part of senior management or reporting directly to senior management. Senior management must appoint a qualified MLRO and oversee the firm's AML/CTF strategy.

While overall AML/CTF responsibility should ideally be allocated to a single individual, larger firms may divide these responsibilities among multiple people, provided the division is clearly defined. The relationship between the MLRO and the senior manager responsible for AML/CTF systems must be clearly documented.

Firms must submit annual reports on their AML systems: The MLRO should provide at least one annual report on the effectiveness of the firm's anti-money laundering controls, though more frequent reporting may occur as needed. Senior management must address any identified deficiencies promptly.

Most firms (except credit unions and certain smaller firms with revenues under £5 million) must submit an Annual Financial Crime Report to the FCA. FCA-regulated firms must provide adequate resources to their MLROs, and all firms must allocate sufficient resources to counter money laundering risks."
JMLSG-Guidance-Part-I_July-2022.pdf,21,Financial Crime Prevention; Regulatory Compliance; Money Laundering Reporting; Industry Exemptions; Supervisory Requirements,"The content discusses various aspects of financial crime prevention and regulatory compliance requirements for different types of financial institutions. It emphasizes the importance of the Money Laundering Reporting Officer (MLRO) role and the need for adequate resources based on a firm's size and complexity. Key points include:

- The effectiveness of anti-money laundering measures depends heavily on the MLRO's competence and internal reporting processes
- General insurance firms and mortgage intermediaries, while regulated by the FCA, are not subject to ML Regulations but must still maintain appropriate risk management systems
- These firms are subject to POCA (Proceeds of Crime Act) and Terrorism Act provisions and may optionally appoint a nominated officer for administrative convenience
- E-money issuers and payment institutions are regulated under specific regulations (Electronic Money Regulations and Payment Services Regulations) rather than FSMA
- The FCA provides separate guidance for e-money issuers and payment institutions regarding their AML/CTF controls

The text also emphasizes the importance of firms being aware of FCA enforcement findings and actions, which are available on the FCA website."
JMLSG-Guidance-Part-I_July-2022.pdf,22,Financial Crime Prevention; Risk Management; Regulatory Compliance; Corporate Policy; Senior Management Responsibilities,"This content focuses on the requirements and responsibilities of senior management in FCA-regulated firms regarding financial crime prevention. Key points include:

Senior management must establish formal policies and conduct risk assessments for preventing money laundering and terrorist financing. These assessments should consider UK national risk assessment findings and must be documented, kept current, and available for FCA review. The FCA may waive documentation requirements if sector risks are well understood.

Firms must produce appropriate documentation of their risk management policies and risk profiles related to money laundering, though there are some exceptions for general insurance firms, mortgage intermediaries, e-money issuers, and payment institutions.

A formal AML/CTF (Anti-Money Laundering/Counter-Terrorist Financing) policy statement is required to:
- Provide clear framework and direction for the firm and staff
- Identify responsible individuals and functions
- Outline how senior management assesses and manages risks
- Be tailored to the firm's specific circumstances (generic documents are discouraged)

The policy should include guiding principles that clearly state the firm's culture and values regarding financial crime prevention. This documentation serves as both a practical framework and a demonstration of senior management's commitment to preventing financial crime."
JMLSG-Guidance-Part-I_July-2022.pdf,23,AML/CTF Compliance; Risk Management; Customer Due Diligence; Corporate Governance; International Banking Regulations,"The content outlines key components of financial institutions' anti-money laundering (AML) and counter-terrorist financing (CTF) policies and procedures. It emphasizes several critical commitments, including customer identity verification, ongoing customer monitoring, staff training on legal obligations, and internal suspicious activity reporting. The text details a risk mitigation approach that involves allocating responsibilities, implementing risk-based monitoring controls, and establishing appropriate supervision of policy execution. The document stresses the importance of wide communication of these policies throughout the organization to ensure effective implementation. Regarding international operations, UK financial institutions must implement a group-wide AML/CTF strategy for overseas branches, subsidiaries, and outsourced operations. Parent companies are specifically required to ensure their policies and procedures apply consistently across all subsidiary undertakings and non-UK branches, including establishing group-wide protocols for data protection and information sharing about customers, accounts, and transactions. While maintaining group-wide standards, the text notes that reporting processes must still adhere to local laws and procedures in different jurisdictions."
JMLSG-Guidance-Part-I_July-2022.pdf,24,AML/CTF Compliance; International Regulations; Subsidiary Management; Cross-border Operations; Regulatory Reporting,"This section outlines key regulations regarding anti-money laundering (AML) and counter-terrorist financing (CTF) requirements for firms operating across international borders. According to Regulation 20(3),(4), when a firm establishes subsidiaries or branches in third countries with less stringent AML/CTF requirements than the UK, they must ensure these entities apply equivalent measures to UK standards. If local laws prevent such compliance, firms must notify the FCA and implement additional risk management measures. Regulation 19(6) mandates that firms must communicate their AML/CTF policies, controls, and procedures to all overseas branches and subsidiaries. The text also addresses suspicious activity reporting requirements, noting that reports may need to be filed both in the local jurisdiction where the suspicion arose and with the UK's National Crime Agency (NCA). Finally, the section warns about extra-territorial implications, emphasizing that firms with international connections (through listings, activities, branches, subsidiaries, or correspondent relationships) may be subject to multiple jurisdictions' AML/CTF and financial sanctions regimes. Senior management is advised to seek guidance on how these overseas regulations might affect their firm's activities."
JMLSG-Guidance-Part-I_July-2022.pdf,25,Internal Controls; Regulatory Compliance; Money Laundering Prevention; Risk Management; Corporate Policies,"This chapter focuses on internal controls required for preventing money laundering and terrorist financing. Under Regulations 19-24 and SYSC Chapters 2, 3, and 6, firms must establish and maintain comprehensive policies and procedures that are proportionate to their size and business nature. Key requirements include: 1) Establishing and maintaining adequate policies to prevent money laundering operations, 2) Implementing controls that account for business-specific risks, 3) Maintaining oversight of outsourced activities, and 4) Regular review of these controls. The policies must be approved by senior management and documented in writing. Specific requirements cover internal controls, employee screening, internal audit functions, risk management practices, customer due diligence, record keeping, suspicious activity reporting, and staff training. FCA-regulated firms have similar obligations under SYSC. The guidance emphasizes that controls must be both adequate and appropriate, focusing on effectively mitigating identified risks of money laundering and terrorist financing. Firms must also monitor and manage the effectiveness of these policies and ensure proper internal communication of procedures."
